GEOID,FInStrength,Econ_Inequ,Educ_Attain,Mean_Age,Mean_Risk,CAN_per10000,distance2FB,dist2SNAPretail,evic_rate1000
3.5001E+11,89.18178512,109.4929852,106.3009591,5.489796,2.938776,849.220104,3890.417345,653.0165697,16.48884578
3.5001E+11,100.6807656,97.77641371,96.58865186,5.25,2.5,223.4636872,858.530473,703.7771213,1.754385965
3.5001E+11,105.7906517,85.06123096,120.908134,5.214286,3.357143,501.7921147,2649.349296,808.5570312,19.84126984
3.5001E+11,96.94716334,98.33208606,114.2418542,6.588235,2.647059,1005.91716,2055.24338,369.938859,12.65822785
3.5001E+11,101.1666146,101.1354303,103.4774456,5.0625,2.8125,462.4277457,740.254441,379.3388018,13.64200083
3.5001E+11,103.8989564,97.31429195,111.4687723,6.875,3.5,490.797546,879.344362,482.5493329,9.046052632
3.5001E+11,69.12440259,156.3491386,108.3083175,5.768293,2.853659,2636.655949,562.727868,345.5249015,101.6731017
3.5001E+11,92.16361298,109.2398326,94.97405732,4.678571,3.25,1717.791411,352.90688,429.3998073,22.58251303
3.5001E+11,85.5178694,146.9804056,108.128885,6.232143,3.035714,1530.054645,896.958914,472.6246195,21.4987715
3.5001E+11,82.88025301,121.1212737,67.53406368,4.2,3,127.8772379,729.77005,431.0949763,8.253968254
3.5001E+11,82.96169515,126.8919265,89.89284247,6.333333,2.444444,814.479638,714.902619,436.1525082,9.852216749
3.5001E+11,85.59291247,97.17733561,90.89133437,8,3.32,1101.321586,1076.306176,516.4066889,2.898550725
3.5001E+11,105.5767127,122.4882622,84.57439662,7.666667,2.766667,641.025641,1351.812792,557.9268037,3.492433062
3.5001E+11,153.7127978,70.79209048,120.9486159,3,2,50.50505051,4783.850513,630.8216733,0.850340136
3.5001E+11,113.2558792,107.2062884,118.4119469,6.666667,3.166667,191.6932907,4820.137009,633.9470767,11.28158845
3.5001E+11,173.7793901,73.01247048,120.8014041,0,0,0,5627.261142,692.1561131,0.392003136
3.5001E+11,102.3627622,92.17071504,100.7630688,8.238095,3.47619,428.5714286,2011.99979,784.754901,0.868055556
3.5001E+11,95.23287804,99.47790107,72.15605772,6.851064,3.170213,340.5797101,623.783494,243.1219037,1.663893511
3.5001E+11,114.1211554,101.0381036,117.8118776,6.133333,3,1209.677419,728.637511,703.9949916,12.00686106
3.5001E+11,124.5833108,115.8922111,103.5262916,7.666667,2.666667,1470.588235,488.950548,728.5523405,5.154639175
3.5001E+11,86.42073119,117.2011893,74.2910372,5.096774,3.016393,1255.060729,2295.147668,719.728279,7.551919446
3.5001E+11,101.5604158,97.56423331,103.2054439,7.263158,2.868421,315.3526971,1771.459487,407.7903507,2.155172414
3.5001E+11,119.1763406,79.33212373,118.0527478,5.714286,2.285714,106.0606061,5957.971745,767.5959122,1.163692785
3.5001E+11,173.197963,111.8241139,118.488946,3,3.333333,392.1568627,4631.653003,749.866993,104.4546851
3.5001E+11,109.1565075,79.40276908,112.0173245,7.384615,2.461538,134.9948079,1430.487352,595.5915084,1.598721023
3.5001E+11,138.8434188,82.65226368,114.7851632,6.75,3.25,98.7654321,6008.030022,555.8720353,3.8585209
3.5001E+11,93.04712428,96.48693304,102.3362372,9.083333,2.75,489.7959184,1590.214827,407.2966433,101.7770598
3.5001E+11,94.62835211,104.6695893,96.77779073,7.131579,2.648649,307.1948262,1832.384321,765.1984306,1.210653753
3.5001E+11,111.203802,86.06183604,106.4837862,8.521739,2.5,734.8242812,1676.246358,535.2205756,0.489955904
3.50019E+11,144.6012489,67.61901791,121.7384721,7.833333,2.5,204.0816327,5137.388696,518.2166399,1.273344652
3.5001E+11,138.7836329,70.6577221,120.7729085,5.8,2.933333,322.5806452,20079.38637,631.911613,0.681431005
3.5001E+11,108.6563716,74.08239019,117.8600006,0.333333,3.666667,857.1428571,19133.19221,514.7351573,1.782531194
3.5001E+11,106.4792622,94.77365511,109.0397944,8.375,2.666667,277.4566474,1565.24805,421.3679018,1.611603546
3.5001E+11,120.1676393,80.95836494,121.1831552,5.666667,2.333333,99.55752212,6297.80944,1421.15697,0.416146484
3.5001E+11,123.4035751,69.33552933,122.061284,8,2.333333,285.7142857,2432.885708,689.1626287,0
3.5001E+11,83.09883075,123.2597343,93.46971361,5.137255,3.411765,873.2876712,579.152993,390.6745194,34.43396226
3.5001E+11,95.38454596,96.93426428,88.34740905,6.086957,2.782609,286.0696517,2785.349194,733.9418367,1.303356142
3.50019E+11,79.01056959,107.5010619,106.6616297,12,4,13.21003963,11429.96601,682.0585717,0
3.50019E+11,130.8552235,80.07391445,98.18484001,8.307692,3.179487,265.3061224,6697.348527,422.8045129,2.386634845
3.5001E+11,98.04879552,96.02923153,100.8412622,6.44,2.8,177.1793055,1394.848765,818.3580236,1.623376623
3.5001E+11,112.4246735,90.86965886,119.1164453,9.428571,2.714286,178.7994891,7008.312295,627.4877673,2.78551532
3.5001E+11,189.6498808,70.27323082,119.6499145,10,3,126.5822785,4520.965253,731.0042859,0
3.5001E+11,91.87409983,91.62241385,77.10905344,6.384615,2.666667,407.523511,701.59748,572.9825604,0
3.5001E+11,164.7360924,74.03663705,118.5117162,8.5,2.5,36.16636528,2805.023456,476.1999064,2.145265093
3.5001E+11,72.32158623,135.5318845,83.61041708,6.25,2.625,333.3333333,926.149314,567.9227371,30.03337041
3.5001E+11,86.41490366,137.0526242,103.0366933,5.916667,2.520833,794.7019868,1947.270422,543.7556787,19.75051975
3.5001E+11,92.82011337,96.91441859,93.58079037,6.214286,2.785714,405.7971014,1138.905522,731.0382837,2.169197397
3.5001E+11,111.7430418,79.69446357,101.0579157,10.571429,3.142857,437.5,2785.756717,442.095873,1.771479185
3.5001E+11,113.2337699,106.7929178,112.4946161,5.555556,2.777778,535.7142857,4428.421356,685.878805,9.736540664
3.5001E+11,126.0440975,88.05890351,95.13639647,2,3.5,73.80073801,4279.230786,550.5741992,1.037344398
3.5001E+11,80.48496491,104.1258615,86.21681998,7.363636,2.363636,283.5051546,678.398386,522.6287456,1.225490196
3.5001E+11,82.57992998,103.9019561,68.97743025,6.304348,2.391304,204.4444444,779.375767,556.4528523,0.349283968
3.5001E+11,86.39136609,83.97636786,97.10128078,7.47619,2.904762,566.0377358,821.928508,632.0212445,2.012072435
3.5001E+11,123.7686645,68.96782425,117.778825,8.2,2.65,175.1313485,1648.224486,646.9122133,0.805369128
3.5001E+11,96.80046102,108.2961592,101.2619885,7.259259,2.518519,536.7793241,2047.948057,317.5041199,32.67973856
3.5001E+11,122.3538804,67.81399463,113.6737244,9.875,3.625,209.4240838,635.212475,1154.108218,2.707581227
3.5001E+11,141.8917056,81.59771612,122.061284,0,0,0,4445.468722,451.1864407,0
3.5001E+11,117.9282378,122.5832762,111.8642256,4.25,2.75,327.8688525,4343.621079,681.6716892,22.94348069
3.5001E+11,156.8173841,70.4665104,119.4597188,0,0,0,0,529.8480678,0
3.5001E+11,130.1647658,78.1252105,116.857711,13,2,63.29113924,2205.675903,622.6338459,0
3.5001E+11,121.1293878,80.52175421,110.9347514,6.526316,3.157895,175.2767528,4748.033609,754.7560454,4.8863914
3.5001E+11,145.5957624,69.12709552,120.7877343,5.833333,2.833333,81.52173913,5275.084228,1241.129755,0.804505229
3.5001E+11,89.04860299,107.430854,89.74549498,7.954545,2.840909,346.4566929,597.535427,230.0969982,2.747252747
3.5001E+11,80.15792783,95.33414309,75.53672047,7.171429,2.714286,560,529.103491,270.8816872,12.49349297
3.5001E+11,101.7329905,99.51595297,116.6684414,7.545455,2.909091,691.8238994,1317.499041,672.5723039,1.593625498
3.5001E+11,94.59901836,103.4051356,91.49014882,6.973684,2.789474,273.381295,1636.562598,621.1954577,7.39230181
3.5001E+11,105.1108925,90.75060811,109.3037662,5.764706,2.352941,422.8855721,1017.665547,574.2063918,1.242236025
3.5001E+11,81.75790787,113.2252376,76.08982084,5.44,2.48,289.017341,1215.848036,429.3392241,6.548175865
3.5001E+11,118.6641712,85.18449315,115.9357677,5.708333,3.173913,170.4545455,3718.779825,529.5191234,1.110083256
3.50019E+11,123.6320011,88.97623692,114.0908099,0,0,0,0,496.1352019,1.402524544
3.5001E+11,117.126757,86.59151758,115.1476188,2.888889,2.777778,361.4457831,973.309668,583.5878452,8.724100327
3.5001E+11,100.0783244,88.32887578,77.74425679,5.904762,2.666667,210.8433735,1493.553081,525.7771397,1.715854496
3.5001E+11,96.22491703,81.59684667,91.05694588,3.842105,2.368421,332.1678322,2914.006705,550.6465952,2.011060835
3.5001E+11,105.9511401,116.2390861,120.9856798,2.142857,2.571429,933.3333333,760.916422,859.3192857,8.099688474
3.5001E+11,94.90000829,104.8018976,71.94773083,5.525,3.175,226.3723826,1720.659516,508.1036267,6.268864639
3.5001E+11,101.0417371,110.1745952,112.4267807,5.611111,3,1142.857143,1259.175172,621.3922342,20.40816327
3.5001E+11,108.6824157,86.89982783,103.2191296,10,1.75,168.9189189,1827.027195,683.6210459,0
3.5001E+11,115.5944796,75.54890902,110.33653,5.5,2.5,139.8601399,6597.643632,800.8416984,3.25203252
3.5001E+11,125.0530158,75.6016758,119.1387656,7.8125,2.5625,148.0111008,6835.65375,786.541045,5.264889766
3.5001E+11,114.1396344,83.72338503,80.56150593,6.666667,3.333333,107.1428571,926.267717,875.0587749,1.410437236
3.5001E+11,162.2596836,72.84765034,118.9274956,9,2.2,65.96306069,6277.637813,660.1815666,0.422832981
3.5001E+11,125.0674859,75.30074465,115.9403512,3,2,87.71929825,3903.010277,505.4199396,0.749625187
3.5001E+11,102.6419453,90.89378446,106.9923705,7.578947,3.105263,840.7079646,2059.629218,485.1721684,5.977796755
3.5001E+11,85.39105703,102.1222071,83.97203772,7.5,2.6,164.6090535,2565.388678,586.7396438,1.722158439
3.5001E+11,107.3835127,97.73488785,105.934404,0,0,0,0,241.056531,0
3.5001E+11,105.9821951,74.09592809,109.4866069,10.272727,2.545455,260.0472813,2981.08103,434.9290475,0.378071834
3.5001E+11,103.9210385,87.5500736,116.1206885,7.972222,3.055556,221.9482121,2235.113023,31.49088386,0.962463908
3.50019E+11,116.5346887,73.88596835,110.5584781,6.181818,2.818182,131.7365269,6019.19491,654.6569744,14.90066225
3.5001E+11,116.2400347,87.45047456,114.4434074,4.625,3.3125,391.198044,4682.903111,762.7621243,6.404391583
3.5001E+11,126.0747985,74.2463044,117.0045599,7.857143,3.142857,148.7778959,5051.476139,738.7044949,0
3.5001E+11,112.5950138,80.05983327,117.7304378,5.777778,2.444444,160.4278075,6740.594241,579.1460856,1.269035533
3.5001E+11,133.859586,66.83121201,118.3177886,10.2,2.4,119.9040767,5398.678058,685.921919,0.719942405
3.5001E+11,97.79136241,95.36611295,122.061284,3,4,46.2962963,4589.084004,788.9063694,22.51791198
3.5001E+11,122.7863285,85.28183047,117.4549117,17,2,25.18891688,4127.335619,456.6600516,7.302823759
3.5001E+11,115.6659,80.12726091,110.3329351,8.5,2.928571,121.5277778,6202.034319,1120.163722,0.891530461
3.5001E+11,109.2563288,83.10953618,113.651585,7.351351,2.621622,206.8194522,6614.235149,984.4254895,1.685487949
3.5001E+11,133.1013932,72.71426613,110.1021933,0,0,0,4684.493578,765.2570222,1.071811361
3.5001E+11,120.4570283,76.76871041,121.4975042,6.75,2.75,84.56659619,2270.3016,550.8890648,2.541942044
3.5001E+11,120.6061637,86.59019503,115.0269662,9.45,2.5,142.3487544,6442.954455,379.7190318,0.719251978
3.5001E+11,119.2555548,87.90174312,122.061284,0,0,0,1412.014659,592.6742602,0
3.5001E+11,121.5462641,76.59068261,122.061284,0,2.5,108.1081081,2193.296466,560.475573,0
3.5001E+11,107.8857492,106.2822555,110.0642721,6.6,3.1,680.2721088,2843.529049,590.9175013,20.65131056
3.5001E+11,98.56660639,108.607027,109.5691085,8.384615,3.269231,790.2735562,2760.331714,724.6725307,13.25381047
3.5001E+11,101.6446761,105.6987823,105.5564756,8.166667,2.944444,414.7465438,1770.746798,415.962595,4.486819966
3.5001E+11,99.08512412,106.3222284,113.3283912,4.166667,3.166667,530.9734513,1141.722499,1497.303469,17.26121979
3.5001E+11,135.5092778,86.72594165,120.5236985,7.071429,3.428571,782.122905,3529.310224,732.1997529,35.76437588
3.5001E+11,105.6300824,89.48879357,114.3335482,5.846154,3.307692,315.5339806,1747.833873,510.2735044,16.56867985
3.5001E+11,106.2609441,85.31444211,115.8686023,8.416667,2.833333,510.6382979,2487.714947,615.7516068,9.385665529
3.5001E+11,95.99333378,95.07534417,116.6198081,4.5,3.875,280.7017544,2428.090385,590.5112174,1.792114695
3.5001E+11,122.0346075,78.58625097,117.9631129,6.666667,3.666667,221.1302211,2020.062552,506.2304276,0.605326877
3.5001E+11,115.8794479,75.46053694,118.9300561,14,3,205.1282051,1943.328905,317.4734283,0
3.5001E+11,112.4964811,86.51669102,115.325575,2.666667,3.166667,306.122449,2424.601369,351.5547915,0.796812749
3.5001E+11,132.9665503,66.67102054,122.061284,0,0,0,0,368.6406551,1.307189542
3.5001E+11,107.5520963,96.39277315,107.5798923,4.888889,2.722222,295.5665025,3319.644231,694.7754568,3.816793893
3.5001E+11,126.1134301,104.0459671,119.5276625,6.272727,3.424242,1764.705882,3673.225737,492.5590174,21.35231317
3.5001E+11,103.0283137,112.7012359,114.2479562,7.2,2.88,932.8358209,3082.629614,384.7397245,30.45431852
3.5001E+11,114.2359646,72.86448447,118.7292776,6,2,74.07407407,5795.353118,750.9938272,0.811030008
3.5001E+11,112.0126644,108.5863493,116.0289825,7.857143,2.714286,222.2222222,5801.42116,412.5185347,0
3.5001E+11,119.202228,76.01812304,113.4182086,14,3,70.67137809,5817.815428,796.9814888,0.797448166
3.5001E+11,107.8926967,83.7972284,106.1075772,5.8,2.8,543.4782609,2964.39183,411.8013955,4.975124378
3.5001E+11,87.55291427,141.8325449,105.2256242,7,2.56,1186.046512,2604.78047,1242.4786,24.47676481
3.5001E+11,94.30797448,109.8352372,115.0510573,3.631579,2.421053,1111.111111,3037.323723,331.298098,28.94635276
3.5001E+11,111.699398,92.03161469,120.7703464,4,2,42.01680672,5469.554051,802.4667541,6.41025641
3.5001E+11,132.4570495,69.34467815,111.1256351,0,0,0,5593.78347,635.532487,1.455604076
3.5001E+11,147.8988217,70.70026409,111.4198246,0,0,0,5445.796485,540.5884043,0
3.5001E+11,96.3986275,103.4655172,113.7136956,4.8125,2.625,946.7455621,1724.725414,637.8758229,6.741573034
3.5001E+11,96.95324732,105.314417,107.0460552,7.5,2.166667,312.5,1932.052346,565.8575518,4.733727811
3.5001E+11,97.12855792,116.3457905,102.9330278,5.4,3.5,1169.590643,1505.782994,725.4858351,8.818342152
3.5001E+11,102.0515522,81.25394651,116.042443,8.321429,3.071429,1255.605381,1534.091458,612.0688164,4.379562044
3.5001E+11,116.6504528,81.12200386,115.6636526,7,2,365.8536585,3245.412375,602.8116427,1.941747573
3.5001E+11,106.0525241,99.57493675,119.4340707,4.95,2.65,589.9705015,2930.463061,781.900081,22.0625962
3.5001E+11,124.0281348,75.17162443,117.2003715,8.666667,2.666667,322.5806452,2987.045056,392.7535842,22.76176024
3.5001E+11,125.4483658,80.61323447,110.6087032,3.25,3.25,201.0050251,2677.002657,611.0977476,6.729475101
3.5001E+11,80.59293367,138.2031302,105.5336967,6.9,2.9,341.2969283,1999.467928,323.7281879,14.70588235
3.5001E+11,105.7663253,99.32820911,108.3508651,6.857143,2.857143,869.5652174,2459.43145,681.5369201,2.521008403
3.5001E+11,106.3005326,81.36272204,121.2113687,2,3,153.8461538,2300.577028,497.2909361,3.992015968
3.5001E+11,111.7688109,91.83682771,120.9872561,5,3,174.4186047,2224.598509,795.2022098,2.754820937
3.5001E+11,114.8602179,79.12032356,117.5672597,9.375,2.25,1111.111111,1267.829446,416.0486428,1.893939394
3.5001E+11,101.8373761,117.2189994,118.2360539,8.666667,2.666667,526.3157895,950.096942,564.2082372,3.759398496
3.5001E+11,94.05413156,92.31957118,121.2023066,7.190476,3.095238,1390.728477,1367.301623,935.7660367,46.95431472
3.5001E+11,116.1501028,84.79736063,117.417811,12,1,37.73584906,1781.291266,850.8315255,1.122334456
3.5001E+11,114.4870161,75.96974879,119.4169666,7.25,2.5,150.9433962,1012.206846,1111.296486,9.020618557
3.5001E+11,128.1615039,84.98006829,115.3601611,8.25,3.5,91.74311927,4045.835053,538.6209228,1.582278481
3.5001E+11,101.4186892,71.83443695,108.7306845,5.666667,3,1034.482759,4139.715203,515.5572376,26.18453865
3.5001E+11,117.943577,77.1080431,113.8496708,9.8,2.6,159.2356688,3452.871929,636.3643198,1.085187195
3.5001E+11,115.2042245,94.2122206,110.2495657,7,2.5,152.6717557,3865.337928,372.5678039,5.249343832
3.5001E+11,99.50622371,113.5592026,112.911952,5.888889,2.884615,778.0979827,2782.832684,696.3316634,19.02985075
3.5001E+11,126.5534775,74.43521982,122.061284,4.25,3.5,80.48289738,3143.748932,480.5321698,1.092896175
3.5001E+11,119.3310331,91.64074315,114.6194088,5.166667,3.666667,545.4545455,4779.74378,659.3516883,2.605863192
3.5001E+11,114.1677551,78.38310577,117.0105751,7.333333,2.833333,400,5398.06786,527.0486756,3.238866397
3.5001E+11,123.8430252,78.61280183,111.9601092,0,2,37.31343284,2030.983915,561.8722888,0
3.5001E+11,101.4413911,83.35804679,108.8837531,11,4,138.8888889,942.577855,517.906746,1.644736842
3.5001E+11,103.5690368,88.86883091,115.5853657,9,2.857143,1250,918.086827,512.6396621,1.650165017
3.5001E+11,94.35416889,127.1071589,120.1233634,4.333333,2.333333,193.5483871,829.75702,625.4027843,4.085801839
3.5001E+11,103.9994254,110.9830362,119.8853998,7,2.75,1500,956.147559,611.1220113,1.85528757
3.5001E+11,103.2536725,90.4119601,113.2300831,5.583333,3,563.3802817,968.21947,1001.103701,3.676470588
3.5001E+11,93.00344979,115.8048365,94.85921117,7.533333,2.933333,1310.043668,1281.811722,541.8575594,15.59792028
3.5001E+11,111.8885941,102.875859,120.7980469,4.625,3.125,842.1052632,2449.47839,585.5758902,3.925417076
3.5001E+11,100.0447648,119.7986309,108.6818463,4.192308,3.038462,1101.694915,2037.015541,504.5973881,44.72477064
3.5001E+11,94.63710655,103.5114782,107.1096636,4.923077,2.769231,691.4893617,1895.672086,726.827612,29.9850075
3.5001E+11,94.63550098,106.6090682,108.7680124,6.130435,3.086957,1716.41791,1236.297625,800.6898554,50.31446541
3.5001E+11,93.00192966,104.7592924,118.8130741,6.166667,3.333333,1538.461538,1138.745702,955.0963449,28.79078695
3.5001E+11,95.49506668,91.9791924,104.155588,7.8125,2.6875,727.2727273,1655.638777,390.9794502,2.72479564
3.5001E+11,108.0963844,90.82851156,119.375318,8.4,3.3,285.7142857,1153.343059,774.624325,2.124645892
3.5001E+11,106.7755206,103.3922556,109.3552656,7.5,3.75,459.7701149,1099.126697,367.7177317,1.213592233
3.5001E+11,132.2364168,84.696963,121.1193761,7.8,2.6,1111.111111,1637.173004,491.453843,12.92407108
3.5001E+11,88.65625709,83.57393791,117.0923924,6.391304,2.73913,807.0175439,4468.417387,507.6886361,13.30008313
3.5001E+11,107.4014177,91.68467145,110.7616031,0,0,0,5563.692823,507.1594916,2.031144211
3.5001E+11,126.7851484,72.05398849,118.8813968,0.5,2.5,84.03361345,3967.10468,760.2642368,0
3.5001E+11,114.1230893,68.53034051,120.0639391,1,3.333333,139.5348837,4855.834776,334.5818337,0
3.5001E+11,96.87873781,107.9964581,102.5162924,5.814815,3.115385,681.8181818,3933.377573,696.7002765,10.76847773
3.5001E+11,111.6149919,98.74711989,122.061284,6.5,2.5,135.1351351,4495.693799,662.6913922,34.31763767
3.5001E+11,156.8301064,70.76611253,118.9198127,5,2,55.24861878,4469.433351,459.5437105,0
3.5001E+11,143.5677262,81.41950094,117.4496238,0,0,0,4275.638247,546.9236915,1.328021248
3.5001E+11,128.268586,80.5606713,117.5358605,16,2,50.50505051,3776.079243,521.292067,0
3.5001E+11,132.5223207,98.02648269,119.310687,0,0,0,4034.416304,514.4099057,1.588562351
3.5001E+11,141.9129114,79.63230532,122.061284,0,0,0,1546.587942,763.8774916,5.244755245
3.5001E+11,131.9144413,79.13813386,111.3201466,7,2,454.5454545,1333.533994,418.7475034,0
3.5001E+11,130.1859114,107.4380991,117.5089982,7,3.5,83.33333333,1547.518564,541.2483158,0
3.5001E+11,115.7457153,101.8016292,110.5876372,5.6,3.2,2238.80597,1100.872673,616.2406277,16.27670397
3.5001E+11,99.95365745,98.90842354,119.8201015,5.277778,3,684.4106464,1196.984168,504.4892575,11.73402868
3.5001E+11,131.6978891,70.70300136,118.6232169,0,0,0,1520.537153,569.3485345,0.875656743
3.5001E+11,124.3344999,103.2530767,110.4953513,10.333333,2.666667,86.45533141,1389.783284,726.872642,6.458557589
3.5001E+11,111.6783299,94.42607824,122.061284,13.5,2,212.7659574,1060.759777,446.9429121,16.81957187
3.5001E+11,126.185703,81.62773883,122.061284,7.5,2.5,72.20216606,1120.141903,459.1750202,1.652892562
3.5001E+11,76.47504496,174.7051828,65.31502414,4.4375,3.25,1739.130435,899.763369,555.1160257,27.64976959
3.5001E+11,100.9192145,104.4203333,110.8970497,5.133333,2.933333,681.8181818,870.073356,423.1586657,12.37432328
3.5001E+11,148.5226887,75.30895346,118.251766,8.6,4,159.2356688,3461.134819,500.1511797,0.715819613
3.5001E+11,124.1551707,102.2040481,113.1676372,4.666667,3,234.375,4324.517475,450.2073513,5.747126437
3.5001E+11,110.1323831,94.18169978,118.5891733,13,2,47.39336493,4162.308012,592.7032609,14.30842607
3.5001E+11,119.1918116,89.85780722,116.8120151,15,2.5,128.2051282,3483.555681,640.8260789,0
3.5001E+11,116.4706586,91.10381164,115.9203472,5,3.166667,387.0967742,3279.311462,508.7955711,31.99174407
3.5001E+11,134.0617109,75.55615261,122.061284,5.666667,2.333333,309.2783505,4568.672738,767.715436,0
3.5001E+11,150.1856521,64.31228217,119.5750339,11.333333,2.666667,62.63048017,5051.076072,684.2530954,0
3.5001E+11,166.7210622,68.64803426,122.061284,0,0,0,0,842.2890602,0
3.5001E+11,160.9799811,65.14468345,117.2079977,11.5,2.5,35.97122302,5511.539177,722.9575817,0.273597811
3.5001E+11,78.22443184,142.4630898,101.1821908,6.191667,2.89916,1030.042918,2111.757295,1056.311957,45.56105181
3.5001E+11,105.1401634,106.0840119,105.1957364,5.058824,2.882353,939.2265193,1250.563547,440.9299956,17.97175866
3.5001E+11,98.04373119,96.62956942,115.9057677,5.9,3.2,2000,1351.020682,504.5347258,22.55639098
3.5001E+11,90.32790199,106.4371911,112.0050868,10.636364,2.545455,924.3697479,1487.803608,697.2744744,5.167958656
3.5001E+11,83.54109086,141.5898369,77.0923276,6.277778,3.067416,1127.819549,677.436163,554.9154433,40.96100827
3.5001E+11,85.66665204,168.1119175,55.03827377,5.5,3.092308,1257.142857,701.957013,637.138004,33.89830508
3.5001E+11,83.02997505,129.9777867,66.41757965,7.441176,3.235294,1328.125,634.051989,779.4646089,30.82851638
3.5001E+11,79.65236708,138.7539168,62.74652122,5.371429,2.771429,974.9303621,442.868871,620.7429121,61.95286195
3.5001E+11,68.51515747,121.5339475,49.44661459,5.714286,3.142857,786.5168539,812.79795,539.4992036,33.51206434
3.5001E+11,96.82852414,113.1325679,106.9048089,9.125,2.75,449.4382022,1113.237908,667.5263709,4.854368932
3.5001E+11,89.63353586,104.405013,112.2603063,10.25,3,200,1277.477827,679.2232194,4.022526146
3.5001E+11,104.4066927,78.79904807,110.8454695,6.632653,2.55102,1713.286713,810.053429,421.537238,13.42673672
3.5001E+11,94.54282639,109.322005,100.4753205,5.764706,3.411765,2786.885246,1123.832727,1213.397462,6.825938567
3.5001E+11,88.96663116,113.5296701,114.4386066,5,3.466667,612.244898,1400.713605,541.6872149,3.264417845
3.5001E+11,84.95485767,104.7955128,76.89878092,4.96,2.52,902.5270758,1547.623507,502.5579151,19.53125
3.5001E+11,78.89825456,111.2288295,73.43501503,7.133333,3.133333,259.7402597,1252.59181,537.9649878,16.01758794
3.5001E+11,96.56820959,98.63930603,97.99351186,6.411765,3.032258,441.5584416,745.21954,653.574833,8.990318119
3.5001E+11,101.9516184,89.66680893,116.4600407,9,2.3,308.6419753,1167.26216,642.1263874,8.765522279
3.5001E+11,123.1124023,73.07935032,120.9802757,5,2.5,51.67958656,16275.34089,588.8073172,0.910746812
3.5001E+11,109.2504723,84.41641542,102.8955331,6,3.142857,648.1481481,23593.99584,707.0148625,0.675675676
